name,edition,condition,language,price_eur,quantity,seller
"Zar Ojanen, hija de Efrava",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
"Vohar, profanador vodaliano",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
"Uurg, engendro de Turg",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Tura Kennerüd, caballero celeste",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Tori D'Avenant, jinete de furia",Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
"Tatyova, sirviente de las mareas",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Sol'kanar, el Corrompido",Dominaria Unida,NM,Inglés,0.4,4,Mazvigosl
"Rulik Mons, jefa del barracón",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Raff, partidario del Vientoligero",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Radha, señora guerrera de la Coalición",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Najal, el Corredor de Tormentas",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Nael, aeronauta de avizoas",Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Lagomos, mano del odio",Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Bortuk Sonahuesos,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
"Baird, reclutador argiviano",Dominaria Unida,NM,Inglés,0.22,8,Mazvigosl
Transeúnte de Yavimaya,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Iconoclasta de Yavimaya,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
El tratado de Semillaclima,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
Prodigio moldeaenredaderas,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Amenazas no advertidas,Dominaria Unida,NM,Inglés,0.4,5,Mazvigosl
Maro territorial,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Raizguana al sol,Dominaria Unida,NM,Inglés,0.24,8,Mazvigosl
Fuerza de la Coalición,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Tejetrampas,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Inspección de Pies de Fango,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Explorar lo salvaje,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Ancestro barbamusgosa,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Centinela mágnigoth,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Viuda verde de Llanowar,Dominaria Unida,NM,Inglés,0.21,8,Mazvigosl
Báloth rompelíneas,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Tortuga suprimemaleficios,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Poderío de Gaia,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Hidromante élfica,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Sierpe del elfhogar,Dominaria Unida,NM,Inglés,0.14,8,Mazvigosl
Aerocapellán,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Precipitador de la emboscada,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Secuelas de la calamidad,La Guerra de los Hermanos,NM,Inglés,0.2,8,Mazvigosl
Secuelas de la calamidad,La Guerra de los Hermanos,NM,Inglés,0.25,8,Mazvigosl
Contragolpe mortal,La Guerra de los Hermanos,NM,Inglés,0.2,8,Mazvigosl
Minero del Gran Desierto,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
"Loran, discípula de la historia",La Guerra de los Hermanos,NM,Inglés,0.22,8,Mazvigosl
"Loran, discípula de la historia",La Guerra de los Hermanos,NM,Inglés,0.2,8,Mazvigosl
Meticulous Excavation,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Meticulous Excavation,La Guerra de los Hermanos,NM,Inglés,0.14,8,Mazvigosl
Disciplina militar,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Vanguardia de la falange,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Ingeniero de piedras de poder,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Pena de prisión,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Reutilizar,La Guerra de los Hermanos,NM,Inglés,0.35,8,Mazvigosl
Reparar y recargar,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Reparar y recargar,La Guerra de los Hermanos,NM,Inglés,0.14,8,Mazvigosl
Red estática,La Guerra de los Hermanos,NM,Inglés,0.13,8,Mazvigosl
Red estática,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Superviviente de Korlis,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Arquitecta de tópteros,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Élite del señor guerrero,La Guerra de los Hermanos,NM,Inglés,0.12,8,Mazvigosl
Ensamblador autónomo,La Guerra de los Hermanos,NM,Inglés,0.21,1,Mazvigosl
Trilladora de combate,La Guerra de los Hermanos,NM,Inglés,0.2,8,Mazvigosl
Trilladora de combate,La Guerra de los Hermanos,NM,Inglés,0.22,6,Mazvigosl
Organizar,La Guerra de los Hermanos,NM,Inglés,0.2,8,Mazvigosl
Desmontar,La Guerra de los Hermanos,NM,Inglés,0.2,8,Mazvigosl
