name,edition,condition,language,price_eur,quantity
Enfriamiento involuntario,La Guerra de los Hermanos,NM,Inglés,0.14,8
Enfriamiento involuntario,La Guerra de los Hermanos,NM,Inglés,0.12,8
Guardiana de la cadencia,La Guerra de los Hermanos,NM,Inglés,0.14,8
Guardiana de la cadencia,La Guerra de los Hermanos,NM,Inglés,0.12,8
Roc de Koilos,La Guerra de los Hermanos,NM,Inglés,0.12,8
Máquinas sobre la materia,La Guerra de los Hermanos,NM,Inglés,0.14,8
Máquinas sobre la materia,La Guerra de los Hermanos,NM,Inglés,0.12,8
Animación de la Piedra de Fortaleza,La Guerra de los Hermanos,NM,Inglés,0.12,8
División de la piedra de poder,La Guerra de los Hermanos,NM,Inglés,0.12,8
División de la piedra de poder,La Guerra de los Hermanos,NM,Inglés,0.14,8
Alzar el vuelo,La Guerra de los Hermanos,NM,Inglés,0.12,8
Alzar el vuelo,La Guerra de los Hermanos,NM,Inglés,0.14,8
Sabio del Tercer Camino,La Guerra de los Hermanos,NM,Inglés,0.2,8
Mecánica de tópteros,La Guerra de los Hermanos,NM,Inglés,0.14,8
Mecánica de tópteros,La Guerra de los Hermanos,NM,Inglés,0.12,8
"Urza, prodigio de las piedras",La Guerra de los Hermanos,NM,Inglés,0.12,8
"Urza, prodigio de las piedras",La Guerra de los Hermanos,NM,Inglés,0.14,8
Rechazo de Urza,La Guerra de los Hermanos,NM,Inglés,0.2,8
Centinela del céfiro,La Guerra de los Hermanos,NM,Inglés,0.12,8
Mensajero de combate,La Guerra de los Hermanos,NM,Inglés,0.2,8
Coloso cargaprofunda,La Guerra de los Hermanos,NM,Inglés,0.12,8
Metamorfo corpulento,La Guerra de los Hermanos,NM,Inglés,0.2,8
"Ashnod, mecánica de la carne",La Guerra de los Hermanos,NM,Inglés,0.25,3
Intervención de Ashnod,La Guerra de los Hermanos,NM,Inglés,0.2,8
Carnicero bélico,La Guerra de los Hermanos,NM,Inglés,0.12,8
Carnicero bélico,La Guerra de los Hermanos,NM,Inglés,0.14,8
Corromper,La Guerra de los Hermanos,NM,Inglés,0.2,8
Corromper,La Guerra de los Hermanos,NM,Inglés,0.22,8
Discípulos de Gix,La Guerra de los Hermanos,NM,Inglés,0.14,8
Discípulos de Gix,La Guerra de los Hermanos,NM,Inglés,0.12,8
Desfigurar,La Guerra de los Hermanos,NM,Inglés,0.14,8
Soldadura de emergencia,La Guerra de los Hermanos,NM,Inglés,0.12,8
Entrega fatídica,La Guerra de los Hermanos,NM,Inglés,0.25,8
Caricia de Gix,La Guerra de los Hermanos,NM,Inglés,0.14,8
Caricia de Gix,La Guerra de los Hermanos,NM,Inglés,0.12,8
Conclusión macabra,La Guerra de los Hermanos,NM,Inglés,0.12,8
Conclusión macabra,La Guerra de los Hermanos,NM,Inglés,0.14,8
Consagradora gorgoteante,La Guerra de los Hermanos,NM,Inglés,0.12,8
Consagradora gorgoteante,La Guerra de los Hermanos,NM,Inglés,0.14,8
Nadie se queda atrás,La Guerra de los Hermanos,NM,Inglés,0.2,8
Remordimiento abrumador,La Guerra de los Hermanos,NM,Inglés,0.22,8
Fractura de la piedra de poder,La Guerra de los Hermanos,NM,Inglés,0.12,8
Vigilancia thran,La Guerra de los Hermanos,NM,Inglés,0.21,8
Traxodemonio,La Guerra de los Hermanos,NM,Inglés,0.12,8
Segador de Ashnod,La Guerra de los Hermanos,NM,Inglés,0.22,8
Aparecido de arcilla,La Guerra de los Hermanos,NM,Inglés,0.12,8
Arado de guerra embestidor,La Guerra de los Hermanos,NM,Inglés,0.12,8
Iracundo chatarreño,La Guerra de los Hermanos,NM,Inglés,0.12,8
Altar de transmutación,La Guerra de los Hermanos,NM,Inglés,0.12,8
Altar de transmutación,La Guerra de los Hermanos,NM,Inglés,0.14,8
Carrera armamentística,La Guerra de los Hermanos,NM,Inglés,0.12,8
Carrera armamentística,La Guerra de los Hermanos,NM,Inglés,0.14,8
Estallido en la excavación,La Guerra de los Hermanos,NM,Inglés,0.12,8
La caída de Kroog,La Guerra de los Hermanos,NM,Inglés,0.14,8
La caída de Kroog,La Guerra de los Hermanos,NM,Inglés,0.12,8
Buscapiedras astado,La Guerra de los Hermanos,NM,Inglés,0.2,8
Buscapiedras astado,La Guerra de los Hermanos,NM,Inglés,0.22,8
"Mishra, excavador prodigioso",La Guerra de los Hermanos,NM,Inglés,0.12,8
"Mishra, excavador prodigioso",La Guerra de los Hermanos,NM,Inglés,0.14,8
Arremetida de Mishra,La Guerra de los Hermanos,NM,Inglés,0.12,8
Surgir de las trincheras,La Guerra de los Hermanos,NM,Inglés,0.23,8
Toro fortachón de Penregon,La Guerra de los Hermanos,NM,Inglés,0.12,8
Cazadora de rocs,La Guerra de los Hermanos,NM,Inglés,0.12,8
Patrullarriscos de Sardia,La Guerra de los Hermanos,NM,Inglés,0.14,8
Patrullarriscos de Sardia,La Guerra de los Hermanos,NM,Inglés,0.12,8
